date,precipitation
2016-10-03,0.0
2016-10-04,0.0
2016-10-04,3.46
2016-10-04,
2016-10-04,0.0
2016-10-04,0.03
2016-10-04,0.0
2016-10-04,0.0
2016-10-05,0.81
2016-10-05,0.0
2016-10-05,0.01
2016-10-05,
2016-10-05,0.0
2016-10-05,0.0
2016-10-05,0.0
2016-10-06,0.0
2016-10-06,0.04
2016-10-06,0.05
2016-10-06,0.0
2016-10-06,0.07
2016-10-06,0.0
2016-10-06,0.0
2016-10-07,0.0
2016-10-07,0.0
2016-10-07,0.0
2016-10-07,
2016-10-07,0.0
2016-10-07,0.0
2016-10-07,0.01
2016-10-08,0.0
2016-10-08,0.0
2016-10-08,0.0
2016-10-08,0.04
2016-10-08,0.0
2016-10-09,0.0
2016-10-09,0.0
2016-10-09,0.0
2016-10-09,0.0
2016-10-09,0.0
2016-10-10,0.0
2016-10-10,0.0
2016-10-10,0.0
2016-10-10,0.0
2016-10-10,
2016-10-10,0.0
2016-10-11,0.0
2016-10-11,0.28
2016-10-11,0.0
2016-10-11,0.02
2016-10-11,0.35
2016-10-11,
2016-10-11,0.04
2016-10-12,0.03
2016-10-12,0.0
2016-10-12,0.0
2016-10-12,0.0
2016-10-12,0.03
2016-10-12,0.02
2016-10-13,0.06
2016-10-13,0.0
2016-10-13,0.0
2016-10-13,0.02
2016-10-13,0.0
2016-10-13,0.0
2016-10-13,
2016-10-14,0.0
2016-10-14,0.0
2016-10-14,0.0
2016-10-14,0.0
2016-10-14,0.0
2016-10-14,0.0
2016-10-15,0.0
2016-10-15,0.0
2016-10-15,0.0
2016-10-15,0.33
2016-10-15,0.04
2016-10-15,0.02
2016-10-16,0.0
2016-10-16,0.0
2016-10-16,0.0
2016-10-16,0.0
2016-10-16,0.0
2016-10-17,0.01
2016-10-17,
2016-10-17,0.01
2016-10-17,
2016-10-17,0.12
2016-10-17,0.38
2016-10-17,0.03
2016-10-18,0.02
2016-10-18,0.0
2016-10-18,0.03
2016-10-18,0.02
2016-10-18,0.48
2016-10-18,0.05
2016-10-18,
2016-10-19,0.0
2016-10-19,0.11
2016-10-19,0.06
2016-10-19,
2016-10-19,0.0
2016-10-19,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-20,1.0
2016-10-20,0.0
2016-10-20,0.0
2016-10-20,0.01
2016-10-20,
2016-10-21,
2016-10-21,0.0
2016-10-21,0.05
2016-10-21,0.15
2016-10-21,0.09
2016-10-21,0.03
2016-10-21,
2016-10-22,0.1
2016-10-22,0.15
2016-10-22,0.15
2016-10-22,1.37
2016-10-22,0.0
2016-10-23,0.01
2016-10-23,0.02
2016-10-23,0.24
2016-10-23,
2016-10-23,0.0
2016-10-23,0.01
2016-10-24,
2016-10-24,0.7
2016-10-24,0.0
2016-10-24,0.0
2016-10-24,0.08
2016-10-24,0.01
2016-10-24,0.0
2016-10-25,0.4
2016-10-25,0.4
2016-10-25,0.0
2016-10-25,0.04
2016-10-25,0.12
2016-10-25,0.11
2016-10-25,0.03
2016-10-26,0.06
2016-10-26,0.02
2016-10-26,0.0
2016-10-26,0.01
2016-10-26,0.0
2016-10-26,0.2
2016-10-27,0.11
2016-10-27,1.25
2016-10-27,0.08
2016-10-27,0.2
2016-10-27,0.0
2016-10-27,0.22
2016-10-27,
2016-10-28,0.0
2016-10-28,0.06
2016-10-28,
2016-10-28,0.02
2016-10-28,0.05
2016-10-28,0.07
2016-10-28,0.37
2016-10-29,0.0
2016-10-29,0.01
2016-10-29,0.1
2016-10-29,0.02
2016-10-29,0.25
2016-10-29,0.26
2016-10-30,0.24
2016-10-30,0.1
2016-10-30,0.16
2016-10-30,0.0
2016-10-30,0.14
2016-10-30,0.95
2016-10-31,0.03
2016-10-31,0.07
2016-10-31,0.03
2016-10-31,0.0
2016-10-31,
2016-10-31,0.13
2016-10-31,1.35
2016-11-01,0.1
2016-11-01,0.09
2016-11-01,0.0
2016-11-01,0.0
2016-11-01,0.01
2016-11-01,0.01
2016-11-02,0.0
2016-11-02,0.0
2016-11-02,0.0
2016-11-02,0.0
2016-11-02,0.04
2016-11-02,0.0
2016-11-03,0.0
